Start,End,Distance
59729,59031,14.7
59031,59041,15.1
59041,59051,15.5
59051,59061,16.2
59061,59079,16.6
59079,59091,16.9
59091,59251,17.5
59251,59521,18.0
59521,58261,18.9
58261,58339,19.3
58339,58211,19.8
58211,58251,20.1
58251,58009,20.5
58009,58009,0.0
58009,58259,0.5
58259,58219,0.8
58219,58331,1.3
58331,58269,1.8
58269,59529,2.7
59529,59259,3.1
59259,59099,3.6
59099,59073,4.1
59073,59069,4.3
59069,59059,5.0
59059,59049,5.5
59049,59039,5.9
59039,59721,6.7
59721,59501,7.2
59501,59731,7.6
59731,59741,8.0
59741,59751,8.3
59751,59471,8.9
59471,59781,9.2
59781,68179,9.9
68179,68159,11.6
68159,68149,12.2
68149,68139,12.5
68139,68169,13.2
68169,68129,13.7
68129,68109,14.1
68109,68089,14.5
68089,68099,14.8
68099,68069,15.4
68069,68119,16.0
68119,65439,18.8
65439,65149,19.2
65149,65401,19.5
65401,65009,20.2
59479,59759,0.4
59759,59749,0.8
59749,59739,1.1
59739,59509,1.6
59509,59729,2.1
59729,59031,2.9
59031,59041,3.3
58009,58259,0.5
58259,58219,0.8
58219,58331,1.3
58331,58269,1.8
58269,59529,2.7
59529,59259,3.1
59259,59099,3.6
59099,59073,4.1
65009,65259,0.4
65259,65409,0.7
65409,65141,1.1
65141,65431,1.3
65431,65199,2.6
65199,75359,6.6
75359,75369,7.0
75369,75319,7.4
75319,75299,7.9
75299,75379,8.2
75379,75171,8.5
75171,75159,9.0
75159,75039,9.4
75039,75241,9.7
75241,75231,10.0
75231,75221,10.4
75221,75051,10.9
75051,96289,12.2
96289,96109,12.6
96109,96119,13.1
96119,96229,13.7
96229,96311,14.2
96311,96301,14.5
96301,96401,15.2
96401,97009,16.0
97009,97009,0.0
97009,96361,0.9
96361,96309,1.8
96309,96319,2.0
96319,96221,2.5
96221,96111,3.1
96111,96101,3.5
96101,96281,3.9
96281,75059,5.2
75059,75229,5.6
75229,75239,6.1
75239,75249,6.5
75249,75031,6.9
75031,75151,7.4
75151,75179,7.7
75179,75371,8.0
75371,75291,8.3
75291,75311,8.9
75311,75361,9.3
75361,75351,9.6
75351,65191,13.6
65191,65439,15.0
65439,65149,15.4
65149,65401,15.7
65401,65009,16.4
